,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
27,0.05727066993713379,0.0035167347065493773,0.0028903961181640627,2.341236456101812e-05,0.01,1,3,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.914303228362584,0.8823303368122131,0.9120083490573281,0.9141639873789266,0.8728947921266415,0.8991401387475386,0.017847206007135352,25,-4.759601883625301,-5.58163160364499,-5.077505295832664,-4.76769365743375,-6.209763522895804,-5.279239192686502,0.5531211498509134,25
29,0.4788699150085449,0.43602369435341337,0.003636598587036133,0.0001434296527769267,0.01,1,3,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.9156680406059466,0.8845188913052954,0.9033204060389296,0.9143729298108122,0.8724905122465265,0.898074156001502,0.016976371646394296,26,-4.721548905626464,-5.529481204666406,-5.322271938555622,-4.761887350509831,-6.21963129073997,-5.310964138019658,0.5518059811130962,26
18,0.05652675628662109,0.0071049157205399,0.0026731014251708983,0.00010545708426364092,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8929674329372913,0.8571017164466883,0.8968033223643268,0.024662282068118862,27,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.323920306190351,-6.584258838469659,-5.324180944055331,0.7261720921163274,27
54,0.05215611457824707,0.0037051276600159814,0.002574300765991211,6.300525716066304e-05,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8922815813404307,0.8571001618923307,0.8966658411340831,0.024685630685928543,28,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.340950582807267,-6.5842946526172375,-5.32759416220823,0.7262152157477825,28
11,0.2641444206237793,0.008798938256947034,0.003740406036376953,0.00024537674144649627,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9030674173827562,0.8622286094587845,0.8945578758085269,0.864862226758964,0.8333104630666031,0.8716053184951269,0.02496626309420755,29,-5.062013382348985,-6.039603591717108,-5.558232703053495,-5.982214130113453,-7.111276404647721,-5.950668042376153,0.6781783037668029,29
47,0.6467459201812744,0.6192341469860828,0.0038424015045166017,0.0003429425770477434,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9030674173827562,0.8622286094587845,0.8945579319371232,0.864862226758964,0.8333103807063176,0.8716053132487891,0.02496629868040453,30,-5.062013382348985,-6.039603591717108,-5.558231223683445,-5.982214130113453,-7.111278161466696,-5.950668097865938,0.6781790762884254,30
66,0.105780029296875,0.007526317928082818,0.002950286865234375,5.342036286074294e-05,0.1,1,6,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.826806004565671,0.8489300505378701,0.8281746965671208,0.8823848241297573,0.8461039027298808,0.84647989570606,0.02008706460709926,31,-6.766355514381236,-6.324379987944413,-7.095340008853206,-5.580913048947986,-6.832933475707423,-6.519984407166852,0.5309964246600335,31
67,0.20276303291320802,0.011541242165597071,0.003665733337402344,0.0009879640437505026,0.1,1,6,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8268059890171181,0.8489300451165867,0.8281746965671208,0.8823848281682328,0.8461038884825911,0.8464798894703298,0.02008706901765618,32,-6.766355818107223,-6.324380101422495,-7.095340008853206,-5.5809129531339,-6.832933791994783,-6.5199845347023215,0.5309965156552365,32
68,0.4890096664428711,0.026836670439749008,0.003498744964599609,0.00027914755075575143,0.1,1,6,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8268059718607491,0.8489300345543954,0.8281746965671208,0.8823848295413086,0.8461038698526295,0.8464798804752407,0.020087072681295802,33,-6.766356153240332,-6.32438032250984,-7.095340008853206,-5.580912920557252,-6.8329342055766755,-6.519984722147461,0.530996590738036,33
32,0.5855431079864502,0.22069974226251413,0.0034626007080078127,4.908861955613385e-05,0.01,1,6,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8276737614539589,0.855059648961222,0.8349923611687701,0.8730035370784249,0.8414606247221685,0.846437986676909,0.016049511844282893,34,-6.7493834344368535,-6.194746917201761,-6.953151254287081,-5.799217371815125,-6.935247437483858,-6.526349283044935,0.45558375770177745,34
